sample_index,time_s,packet_index,packet_sequence,sequence_gap_before,packet_tick_ms,packet_flags,stm32_dropped_packets,ch1_raw,ch2_raw,ch3_raw,ch4_raw,ch5_raw,ch6_raw
0,0.000000000,0,48,0,122881,full,0,0,2,2,1,2392,0
1,0.010000000,0,48,0,122881,full,0,8,0,5,0,2403,5
2,0.020000000,0,48,0,122881,full,0,0,0,2,1,2413,0
3,0.030000000,0,48,0,122881,full,0,0,3,0,5,2403,0
4,0.040000000,0,48,0,122881,full,0,2,0,0,5,2410,7
5,0.050000000,0,48,0,122881,full,0,0,0,0,6,2399,7
6,0.060000000,0,48,0,122881,full,0,1,2,1,1,2430,2
7,0.070000000,0,48,0,122881,full,0,2,3,1,8,2403,7
8,0.080000000,0,48,0,122881,full,0,0,0,0,9,2431,1
9,0.090000000,0,48,0,122881,full,0,4,0,1,4,2397,15
10,0.100000000,0,48,0,122881,full,0,3,9,3,2,2429,6
11,0.110000000,0,48,0,122881,full,0,4,10,1,2,2388,6
12,0.120000000,0,48,0,122881,full,0,2,1,0,5,2419,5
13,0.130000000,0,48,0,122881,full,0,0,0,2,12,2388,2
14,0.140000000,0,48,0,122881,full,0,4,0,2,5,2440,3
15,0.150000000,0,48,0,122881,full,0,4,5,1,3,2384,8
16,0.160000000,0,48,0,122881,full,0,7,10,0,0,2421,12
17,0.170000000,0,48,0,122881,full,0,0,0,0,3,2394,7
18,0.180000000,0,48,0,122881,full,0,0,0,0,10,2427,0
19,0.190000000,0,48,0,122881,full,0,0,0,1,4,2389,7
20,0.200000000,0,48,0,122881,full,0,1,2,0,0,2436,0
21,0.210000000,0,48,0,122881,full,0,0,3,0,1,2376,8
22,0.220000000,0,48,0,122881,full,0,0,0,2,4,2453,0
23,0.230000000,0,48,0,122881,full,0,0,0,0,5,2367,12
24,0.240000000,0,48,0,122881,full,0,0,0,0,6,2460,14
25,0.250000000,0,48,0,122881,full,0,0,0,0,4,2383,5
26,0.260000000,0,48,0,122881,full,0,6,8,2,1,2443,8
27,0.270000000,0,48,0,122881,full,0,2,0,0,6,2378,5
28,0.280000000,0,48,0,122881,full,0,0,1,0,11,2447,0
29,0.290000000,0,48,0,122881,full,0,8,0,1,7,2387,6
